sensitivity,origin,horizon,model,country,n,MAE,RMSE,MAPE,WAPE,bias_pct
exclude_spike_train,26,52,rf,Sweden,156,279.92877873071023,424.7292037872182,12.868866371288027,15.862234238884273,-14.604484530635043
exclude_spike_train,26,52,ridge,Denmark,156,110.77353921104203,155.06882498829538,8.239189764071183,7.866973252840767,2.9444440724909775
exclude_spike_train,26,52,ridge,Netherlands,156,186.72611496602835,280.2756865698323,8.337913356357623,7.9674385221989965,4.244259633448731
exclude_spike_train,26,52,ridge,Sweden,156,132.97765302311703,185.6234140550024,7.850659698526448,7.53521195767769,2.950573030523462
exclude_spike_train,52,13,index_trend,Denmark,39,43.04944673187218,50.91454273161199,3.9843457334610646,3.6630632773552714,-1.3597765967342774
exclude_spike_train,52,13,index_trend,Netherlands,39,86.58324194351206,119.95272281674563,4.134764733138862,4.408918298707348,-2.4240889919129023
exclude_spike_train,52,13,index_trend,Sweden,39,59.607492678533276,71.16522574835625,4.004758010333146,4.066920128169203,0.2756956288673435
exclude_spike_train,52,13,rf,Denmark,39,101.9984639738775,130.87633541552458,8.251764189872828,8.679015785183974,-4.119363747791105
exclude_spike_train,52,13,rf,Netherlands,39,202.36290470480054,264.37132371130394,9.814021021886806,10.304551937598378,-8.845817964325535
exclude_spike_train,52,13,rf,Sweden,39,109.1398462569424,156.96166381111004,7.067520558097638,7.446430265427046,-4.819241621230657
exclude_spike_train,52,13,ridge,Denmark,39,70.35490101716219,88.06068298876953,6.429746311412419,5.9864754105452835,4.364977430765097
exclude_spike_train,52,13,ridge,Netherlands,39,120.64020525307117,173.1756116742218,6.122653947931829,6.143138054903153,4.716608401400918
exclude_spike_train,52,13,ridge,Sweden,39,93.23011575570312,123.13162410353064,6.284089772848345,6.360935803209219,5.346421381374055
exclude_spike_train,52,26,index_trend,Denmark,78,58.7551631741207,74.94869082998541,4.055013600761001,3.947851358115031,-2.191595063458691
exclude_spike_train,52,26,index_trend,Netherlands,78,119.88529644169947,178.58199490451278,4.284369859509184,4.836759954302969,-3.1953038874317166
exclude_spike_train,52,26,index_trend,Sweden,78,75.99440006940414,93.76689340901886,4.075867329575053,4.09381890382375,-0.45958050261192296
exclude_spike_train,52,26,rf,Denmark,78,266.3111881331546,373.9600647507176,15.261512296267899,17.89386547420538,-16.093587305590177
exclude_spike_train,52,26,rf,Netherlands,78,487.164151309858,664.7222649651367,17.407118937915676,19.654587577996995,-19.07670911814278
exclude_spike_train,52,26,rf,Sweden,78,335.19898186778,472.20844500672507,15.203645658498733,18.0571716765913,-17.0200170483226
exclude_spike_train,52,26,ridge,Denmark,78,88.42934381139247,113.8927680182517,6.590258415778591,5.941705991496487,3.932214284983972
exclude_spike_train,52,26,ridge,Netherlands,78,148.13289066417443,202.10584378332422,6.4197988362073914,5.976406237841241,4.631742926572927
exclude_spike_train,52,26,ridge,Sweden,78,122.40921035109065,155.2742511359536,6.840366279912913,6.594185083108347,4.896143501164238
exclude_spike_train,65,13,index_trend,Denmark,39,65.48882527690502,83.22540396020864,3.76969728635722,3.635575052381848,-1.7118290543734882
exclude_spike_train,65,13,index_trend,Netherlands,39,116.33605124584012,161.21186296408484,3.7552329937822795,3.886371889422809,-1.9128648460272466
exclude_spike_train,65,13,index_trend,Sweden,39,94.04673412322182,114.0125618919437,4.211116497899647,4.1854831919911115,-1.122044057039942
exclude_spike_train,65,13,rf,Denmark,39,439.8509076564635,525.8429419665955,22.5458382242986,24.418074074193015,-24.418074074193015
exclude_spike_train,65,13,rf,Netherlands,39,767.6989903719275,903.606932170885,24.94168448272412,25.646080847414144,-25.646080847414144
exclude_spike_train,65,13,rf,Sweden,39,567.6576789557728,657.9552322457901,23.56257825973461,25.263202345347747,-25.263202345347747
exclude_spike_train,65,13,ridge,Denmark,39,103.82990925342907,133.00425523958202,5.70460734597421,5.764058618806202,-2.5011221606934213
exclude_spike_train,65,13,ridge,Netherlands,39,144.74883462687123,207.78902189569695,4.309790521552144,4.835541484314378,-1.6883283124343922
exclude_spike_train,65,13,ridge,Sweden,39,124.41656795777057,161.0668535569134,5.495001821607779,5.537071104565743,-1.7962377232767621
