sensitivity,origin,horizon,model,channel,n,MAE,RMSE,MAPE,WAPE,bias_pct
exclude_spike_train,26,26,ridge,Retail/Grocery,78,299.41003853810554,390.5668732195149,11.703638960453926,11.51185395795919,8.684517384316855
exclude_spike_train,26,52,index_trend,DTC Online,156,122.44808061426542,165.46186838917242,6.415586048223982,6.958823374884938,-6.081441408463758
exclude_spike_train,26,52,index_trend,Gym & Office,156,60.75571161268255,89.29028285708588,5.6503410640276375,6.1530762564212536,-5.1516899845167226
exclude_spike_train,26,52,index_trend,Retail/Grocery,156,227.76932372956915,328.0261456757682,7.177688342706452,8.22439414252018,-7.318389209099496
exclude_spike_train,26,52,rf,DTC Online,156,292.2666177085372,403.2219903161287,14.280047010720912,16.60974807286431,-15.103027487746076
exclude_spike_train,26,52,rf,Gym & Office,156,105.63501855447034,151.2188543113981,9.6206521579728,10.698258768784608,-4.784664400623592
exclude_spike_train,26,52,rf,Retail/Grocery,156,450.21028061992547,638.4491110831119,14.775895792107157,16.256389289846208,-14.756742560839957
exclude_spike_train,26,52,ridge,DTC Online,156,136.0767202550948,185.98862044200152,8.017406546905798,7.73334997934229,3.244901457915326
exclude_spike_train,26,52,ridge,Gym & Office,156,80.64781222531178,109.42816961306458,8.461702560573075,8.16766235410695,3.7253635809360355
exclude_spike_train,26,52,ridge,Retail/Grocery,156,213.75277471978086,300.8164915228083,7.94865371147638,7.71827847388291,3.5789824592279933
exclude_spike_train,52,13,index_trend,DTC Online,39,61.22027950200227,70.31322988074379,4.171852214754148,4.147499262734011,-1.1485338477411027
exclude_spike_train,52,13,index_trend,Gym & Office,39,31.789629235574186,37.52227338405468,4.02286207893001,3.8788459787485317,-0.16172227890926483
exclude_spike_train,52,13,index_trend,Retail/Grocery,39,96.23027261634107,125.27395751857047,3.929154183248916,4.167477993245499,-1.7871137015675154
exclude_spike_train,52,13,rf,DTC Online,39,145.88907079797906,193.86594279109275,9.361803523546966,9.88356829628291,-6.3388563787935555
exclude_spike_train,52,13,rf,Gym & Office,39,57.643125338269435,66.60559738590838,7.008790065436315,7.033388255772324,-1.851694159430524
exclude_spike_train,52,13,rf,Retail/Grocery,39,209.96901879937207,263.88911781580333,8.762712180873987,9.0932015603699,-7.9694105183697035
exclude_spike_train,52,13,ridge,DTC Online,39,88.06996503935198,110.62247277362519,5.870294511993041,5.9664888504433575,4.341869618639935
exclude_spike_train,52,13,ridge,Gym & Office,39,56.61381515468185,73.82152890946948,7.0191193303518515,6.9077958609410635,5.7931099862709825
exclude_spike_train,52,13,ridge,Retail/Grocery,39,139.54144183190266,187.66705520276994,5.947076189847699,6.04316991076932,4.794877586446801
exclude_spike_train,52,26,index_trend,DTC Online,78,74.50800355812372,88.6376339256337,4.052207619581321,4.023555993861569,-1.0135702571875183
exclude_spike_train,52,26,index_trend,Gym & Office,78,41.54152869246782,50.54484004379199,4.071359115852334,4.0196990882066395,-0.5758104245116763
exclude_spike_train,52,26,index_trend,Retail/Grocery,78,138.58532743463277,189.44565040611334,4.291684054411584,4.717016071486826,-3.2548868720629547
exclude_spike_train,52,26,rf,DTC Online,78,354.7930628584721,471.54917656097007,16.498914264803226,19.159414914816413,-17.74665923111308
exclude_spike_train,52,26,rf,Gym & Office,78,159.96505476765648,200.97690376895844,13.818326106053155,15.478760773458554,-13.424120616635209
exclude_spike_train,52,26,rf,Retail/Grocery,78,573.9162036846639,736.1605078653196,17.55503652182592,19.53433315474303,-19.092717891824126
exclude_spike_train,52,26,ridge,DTC Online,78,120.7804247381795,152.67634558521132,6.600401217984313,6.522343623357798,4.8895482757406885
exclude_spike_train,52,26,ridge,Gym & Office,78,73.25100870576941,89.13608966467798,7.328472075881827,7.088015828319436,5.805652178205782
exclude_spike_train,52,26,ridge,Retail/Grocery,78,164.94001138270863,216.03962317615617,5.9215502380327525,5.614048030376315,3.8690230067370037
exclude_spike_train,65,13,index_trend,DTC Online,39,84.28530346354671,100.34566749227479,3.7917317017266674,3.783830229275289,-0.042559968739022215
exclude_spike_train,65,13,index_trend,Gym & Office,39,52.06472054642962,60.87096384074977,4.164206469710133,4.174082352733535,-0.728125703802671
exclude_spike_train,65,13,index_trend,Retail/Grocery,39,139.52158663599067,179.27651734257623,3.780108606602344,3.911567101196641,-2.895457216769049
exclude_spike_train,65,13,rf,DTC Online,39,581.3814307964523,658.0464418760616,24.368031323849042,26.10002624643058,-26.10002624643058
exclude_spike_train,65,13,rf,Gym & Office,39,260.6911963075219,276.2345087112515,20.398397141099807,20.899882119790643,-20.899882119790643
exclude_spike_train,65,13,rf,Retail/Grocery,39,933.1349498801894,1008.2612516874201,26.283672501808486,26.160969488190837,-26.160969488190837
exclude_spike_train,65,13,ridge,DTC Online,39,114.8410546103623,144.1585614972143,5.368166047540235,5.155573227359628,-0.994815099708182
exclude_spike_train,65,13,ridge,Gym & Office,39,58.172857098343925,74.39364985993949,4.689820464641283,4.663777960850663,-0.7362630229381797
exclude_spike_train,65,13,ridge,Retail/Grocery,39,199.98140012936463,245.9529118642451,5.451413176952615,5.606592388016031,-2.932808916283379
